site_no,soil_type,texture,year,duration,material_name,type,material_id,material_code,weight_loss_oz,specimen_status,city,state,internal_drainage,resistivity,pH,pH_type,total_acidity,Na+K,Ca,Mg,CO3,HCO3,Cl,SO4,mean_temp,annual_precipitation,moisture,air_pore_space,specific_gravity,volume_shrinkage,table,iron_type,areation,region,approximate_days,exact_days,weight_loss_g,corrosion_rate,C (%),Si (%),Mn (%),S (%),P (%),Cr (%),Ni (%),Cu (%),Mo  (%),Fe (%),C_clr,Si_clr,Mn_clr,S_clr,P_clr,Cr_clr,Ni_clr,Cu_clr,Mo_clr
1,Allis silt loam,Clay,1922,1.0,Wrought iron,1.5-inch pipe,1,b,1.2,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,365.25,365.0,366.18,1.0025,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
1,Allis silt loam,Clay,1922,3.6,Wrought iron,1.5-inch pipe,1,b,4.0,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,1314.9,1314.0,1220.61,0.9283,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
1,Allis silt loam,Clay,1922,5.5,Wrought iron,1.5-inch pipe,1,b,5.5,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,2008.88,2008.0,1678.33,0.8355,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
1,Allis silt loam,Clay,1922,7.7,Wrought iron,1.5-inch pipe,1,b,6.8,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,2812.43,2812.0,2075.03,0.7378,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
1,Allis silt loam,Clay,1922,9.6,Wrought iron,1.5-inch pipe,1,b,9.4,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,3506.4,3506.0,2868.43,0.8181,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
1,Allis silt loam,Clay,1922,11.6,Wrought iron,1.5-inch pipe,1,b,8.8,intact,Cleveland,OH,P,1215.0,7.0,Neutral,14.4,0.72,0.25,0.43,0.0,0.09,0.09,0.83,49.2,33.8,28.6,1.1,,6.6,13,Wrought,Poor,Northern,4236.9,4236.0,2685.33,0.6338,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
2,Bell clay,Clay,1922,2.1,Wrought iron,1.5-inch pipe,1,b,2.0,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,767.02,767.0,610.3,0.7957,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
2,Bell clay,Clay,1922,4.0,Wrought iron,1.5-inch pipe,1,b,3.0,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,1461.0,1461.0,915.46,0.6266,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
2,Bell clay,Clay,1922,5.9,Wrought iron,1.5-inch pipe,1,b,4.2,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,2154.97,2154.0,1281.64,0.5947,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
2,Bell clay,Clay,1922,7.9,Wrought iron,1.5-inch pipe,1,b,3.7,intact,Dallas,TX,P,684.0,7.3,Neutral,3.5,0.28,1.09,0.13,0.0,4.48,0.04,0.18,65.5,36.2,37.6,2.0,1.95,23.0,13,Wrought,Poor,Southern,2885.47,2885.0,1129.06,0.3913,0.03,0.15,0.005,0.023,0.145,0.0,0.0,0.02,0.0,99.627,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734
