site_no,year,material_id,specimen_status,city,state,internal_drainage,resistivity,pH,mean_temp,annual_precipitation,moisture,areation,approximate_days,weight_loss_g,corrosion_rate,C_clr,Si_clr,Mn_clr,S_clr,P_clr,Cr_clr,Ni_clr,Cu_clr,Mo_clr,C,Si,Mn,S,P,Cr,Ni,Cu,Mo,Fe,log_days,moisture_res_index,log_resistivity,log_corrosion_rate,texture_Clay,texture_Clay Loam,texture_Loam,texture_Loamy Sand,texture_Marsh,texture_Muck,texture_Peat,texture_Sand,texture_Sandy Clay Loam,texture_Sandy Loam,texture_Silt Loam,texture_Silty Clay,texture_Silty Clay Loam,iron_type_Wrought,climate_zone_Temperate,internal_drainage_code,areation_code
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,365.25,366.18,1.0025,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,5.900582051,0.023539095,7.103322063,0.00249688,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,1314.9,1220.61,0.9283,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.181515896,0.023539095,7.103322063,-0.074400323,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,2008.88,1678.33,0.8355,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.605332632,0.023539095,7.103322063,-0.179724931,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,2812.43,2075.03,0.7378,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.941804157,0.023539095,7.103322063,-0.304082494,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,3506.4,2868.43,0.8181,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,8.162345149,0.023539095,7.103322063,-0.2007707,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1922,1,intact,Cleveland,OH,P,1215,7,49.2,33.8,28.6,Poor,4236.9,2685.33,0.6338,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,8.351587149,0.023539095,7.103322063,-0.456021832,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,767.02,610.3,0.7957,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,6.642512877,0.05497076,6.529418838,-0.228533049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,1461,915.46,0.6266,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.286876412,0.05497076,6.529418838,-0.4674469,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,2154.97,1281.64,0.5947,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.675532081,0.05497076,6.529418838,-0.519698202,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,2885.47,1129.06,0.3913,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.967443077,0.05497076,6.529418838,-0.93828075,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,4383,2166.58,0.4943,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,8.3854887,0.05497076,6.529418838,-0.704612659,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,1922,1,intact,Dallas,TX,P,684,7.3,65.5,36.2,37.6,Poor,6428.4,2563.27,0.3987,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,8.768480953,0.05497076,6.529418838,-0.919546025,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,1922,1,intact,Atlanta,GA,G,30000,5.2,61.2,48.3,29.4,Good,730.5,549.27,0.7519,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,6.593729231,0.00098,10.30898599,-0.285151943,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
3,1922,1,intact,Atlanta,GA,G,30000,5.2,61.2,48.3,29.4,Good,1497.52,976.49,0.6521,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.311565685,0.00098,10.30898599,-0.427557355,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
3,1922,1,intact,Atlanta,GA,G,30000,5.2,61.2,48.3,29.4,Good,2191.5,1281.64,0.5848,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.69234152,0.00098,10.30898599,-0.536485371,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
3,1922,1,intact,Atlanta,GA,G,30000,5.2,61.2,48.3,29.4,Good,2922,1342.67,0.4595,5.219872493,6.829310306,3.428113645,4.954169365,6.795408755,-10.68042734,-10.68042734,4.814407447,-10.68042734,0.03,0.15,0.005,0.023,0.145,0,0,0.02,0,99.627,7.980023592,0.00098,10.30898599,-0.777616337,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
